AREACD,P50
E01013000,77500
E01013001,101475
E01013004,102500
E01012999,67000
E01013002,93000
E01013014,150000
E01013005,339995
E01013009,128250
E01013010,138725
E01013013,136225
E01013012,247500
E01013006,140250
E01013011,159950
E01013007,157000
E01013008,117750
E01013016,258750
E01013017,146000
E01013015,163500
E01013021,135000
E01013019,174000
E01013022,317000
E01013020,212500
E01013023,232500
E01013018,135000
E01013026,167500
E01013024,162250
E01013025,205000
E01013029,104000
E01013031,177500
E01013032,148250
E01013033,132500
E01013028,159000
E01013030,170000
E01013034,249725
E01013035,180000
E01013027,166000
E01013039,214995
E01013040,174250
E01013042,243000
E01013043,200000
E01013044,255995
E01013041,179250
E01013037,137000
E01013038,128000
E01013036,135000
E01013045,129500
E01013048,188000
E01013047,132500
E01013051,122000
E01013049,140000
E01013050,132000
E01013046,150500
E01013058,255000
E01013059,242500
E01013057,272500
E01013052,260000
E01013054,224500
E01013055,210000
E01013053,256000
E01013056,150000
E01013060,273995
E01013061,232475
E01013067,249975
E01013068,340000
E01013064,196000
E01013066,225000
E01013070,246000
E01013065,185000
E01013063,245800
E01013071,156125
E01013062,200780
E01013069,144000
E01013074,224500
E01013075,252500
E01013072,125000
E01013076,150000
E01013073,267995
E01013077,181000
E01013087,150000
E01013078,232500
E01013079,140500
E01013081,159250
E01013085,137000
E01013086,125500
E01013082,115000
E01013083,86500
E01013080,90500
E01013084,111750
E01013089,250500
E01013088,335000
E01013090,238500
E01013093,252500
E01013091,195000
E01013092,225000
E01013097,135725
E01013099,113250
E01013095,133500
E01013098,184975
E01013094,163750
E01013096,160000
E01013102,135000
E01013100,169950
E01013101,137500
E01013103,155500
E01013107,221995
E01013106,130000
E01013105,188500
E01013104,160000
E01013108,267475
E01032596,137500
E01013114,300000
E01013117,265000
E01013118,242000
E01013116,319995
E01013110,170000
E01013113,223000
E01013112,202500
E01013111,181250
E01013115,150000
E01013127,312500
E01013122,400000
E01013126,349950
E01013119,297500
E01013125,175000
E01013121,205000
E01013123,170000
E01013124,150000
E01013120,200000
E01033495,175000
E01013130,118000
E01013129,107250
E01013131,115250
E01013128,92000
E01013133,100000
E01013135,125000
E01013132,152000
E01013134,122500
E01013138,38000
E01013139,45000
E01013142,57000
E01013141,69000
E01013143,70750
E01013136,
E01013137,
E01013140,50000
E01013148,139000
E01013144,70000
E01013147,82500
E01013145,158750
E01013149,148500
E01013150,135000
E01013146,136000
E01013154,151000
E01013155,147500
E01013151,194500
E01013153,187500
E01013156,184000
E01013157,230000
E01013152,228000
E01013159,54000
E01013163,184950
E01013162,77000
E01013161,69950
E01013160,129000
E01013164,105000
E01013165,52500
E01013158,105000
E01013167,210000
E01013166,169950
E01013168,189950
E01013169,130000
E01013170,143000
E01013171,225000
E01013172,166000
E01013175,134500
E01013174,67000
E01013177,70000
E01013179,90000
E01013178,115000
E01013180,125000
E01013176,110000
E01013173,185500
E01013187,106250
E01013184,139000
E01013181,57500
E01013182,195000
E01013183,125500
E01013186,148500
E01013185,130000
E01013188,135000
E01013193,169950
E01013194,140000
E01013189,150000
E01013192,127500
E01013190,170000
E01013191,192500
E01013202,81000
E01013203,59950
E01013195,80000
E01013196,72875
E01013198,97500
E01013197,136000
E01013200,135000
E01013199,96500
E01013201,60000
E01013208,70000
E01013212,69800
E01013210,66000
E01013209,73000
E01013211,103500
E01013207,98000
E01013206,84500
E01013204,97500
E01013205,77000
E01013214,161225
E01013217,212000
E01013215,198500
E01013213,125500
E01013216,170000
E01013218,51750
E01013220,57500
E01013221,55500
E01013222,57000
E01013219,55000
E01013226,159000
E01013225,340000
E01013223,180000
E01013224,173000
E01013228,132500
E01033414,112000
E01013231,79975
E01013233,98500
E01013234,92000
E01013229,92500
E01013227,102500
E01013240,129999
E01013239,130000
E01013238,83500
E01013236,128750
E01033296,124000
E01013237,86500
E01033297,149950
E01013242,234300
E01013243,220000
E01013244,185000
E01013241,177000
E01013246,158500
E01013248,175500
E01013247,172500
E01013249,126500
E01013245,90000
E01013252,230000
E01013251,172475
E01013250,207500
E01013253,212475
E01013254,119950
E01013259,172000
E01013255,137475
E01013256,142998
E01013258,125000
E01013257,169975
E01013262,138000
E01013265,146000
E01013266,155000
E01013263,139000
E01013260,135000
E01013264,123330
E01013261,142500
E01013270,150000
E01013268,180000
E01013267,217178
E01013272,125000
E01013271,128750
E01013273,181500
E01013269,185500
E01013274,145000
E01013277,145000
E01013276,127750
E01013275,163500
E01013283,86500
E01013280,118000
E01013281,84750
E01013284,82750
E01013285,127000
E01013279,109000
E01013278,71225
E01013282,93000
E01013287,120000
E01013286,132750
E01013290,180000
E01013293,174000
E01013289,121000
E01013294,205000
E01013288,124950
E01013291,113500
E01013292,131000
E01013299,
E01013296,60000
E01013300,54000
E01013297,111000
E01013298,108000
E01013295,125000
E01013301,110000
E01013302,255000
E01013307,212500
E01013305,199975
E01013308,137975
E01013306,195500
E01013303,100750
E01013304,172500
E01013309,150000
E01013311,78500
E01013313,96000
E01013314,118000
E01013312,71000
E01013310,96500
